Gm#,Date,,Tm,AwayTeam,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,HomeGame,Index,year
7,201704110,boxscore,BOS,BAL,W,8,1,,4-3,3, 0.5,Pomeranz,Bundy,,3:15,N,"37,497",+,True,111,2017
8,201704110,boxscore,LAA,TEX,W-wo,6,5,10,6-2,1,up 1.5,Bedrosian,Jeffress,,3:33,N,"34,044",++++,True,112,2017
8,201704110,boxscore,PHI,NYM,L,4,14,,3-5,4, 2.0,Harvey,Buchholz,,3:38,N,"28,659",--,True,113,2017
7,201704110,boxscore,TOR,MIL,L,3,4,,1-6,5, 3.5,Peralta,Happ,Feliz,3:31,N,"48,456",----,True,114,2017
10,201704120,boxscore,COL,SDP,L,0,6,,6-4,2, 1.0,Lee,Freeland,,2:49,D,"20,968",-,True,115,2017
8,201704120,boxscore,BOS,BAL,L,5,12,,4-4,3, 1.5,Givens,Wright,,3:46,N,"32,211",-,True,116,2017
8,201704120,boxscore,KCR,OAK,L,3,8,,2-6,5, 4.0,Triggs,Hammel,,3:07,N,"24,380",---,True,117,2017
8,201704120,boxscore,NYY,TBR,W,8,4,,4-4,3, 1.5,Mitchell,Diaz,Chapman,3:33,D,"38,002",+++,True,118,2017
8,201704120,boxscore,MIA,ATL,L,4,5,,4-4,3, 1.5,Vizcaino,Ramos,Johnson,2:51,N,"16,808",-,True,119,2017
8,201704120,boxscore,PIT,CIN,L,2,9,,3-5,4, 3.5,Garrett,Nova,,2:54,N,"12,327",---,True,120,2017
8,201704120,boxscore,CHC,LAD,L,0,2,,5-3,2, 1.5,McCarthy,Lackey,Jansen,3:20,N,"40,844",-,True,121,2017
9,201704120,boxscore,WSN,STL,L,1,6,,5-4,2, 1.0,Leake,Scherzer,,3:14,D,"31,647",-,True,122,2017
10,201704120,boxscore,SFG,ARI,W,6,2,,4-6,5, 3.0,Cain,Miller,,3:21,N,"41,656",+,True,123,2017
8,201704120,boxscore,CLE,CHW,L,1,2,,4-4,3, 2.0,Holland,Salazar,Robertson,2:58,N,"15,628",-,True,124,2017
8,201704120,boxscore,DET,MIN,W,5,3,,6-2,1,up 1.0,Fulmer,Gibson,Wilson,2:48,D,"23,738",+++,True,125,2017
9,201704120,boxscore,PHI,NYM,L,4,5,,3-6,4, 3.0,Wheeler,Velasquez,Reed,3:13,N,"28,272",---,True,126,2017
10,201704120,boxscore,SEA,HOU,L,5,10,,2-8,5, 4.5,Peacock,Altavilla,,3:12,N,"14,479",--,True,127,2017
9,201704120,boxscore,LAA,TEX,L,3,8,,6-3,1,up 0.5,Griffin,Chavez,Leclerc,2:59,N,"34,599",-,True,128,2017
8,201704120,boxscore,TOR,MIL,L,0,2,,1-7,5, 4.5,Anderson,Stroman,Feliz,2:14,N,"29,919",-----,True,129,2017
9,201704130,boxscore,MIA,NYM,L,8,9,16,4-5,3, 2.5,Robles,Conley,,5:38,N,"23,192",--,True,130,2017
11,201704130,boxscore,SFG,COL,L,1,3,,4-7,5, 3.5,Rusin,Bumgarner,Holland,2:50,N,"41,915",-,True,131,2017
10,201704130,boxscore,CIN,MIL,L,1,5,,7-3,1,up 0.5,Nelson,Arroyo,,2:25,N,"13,574",-,True,132,2017
9,201704130,boxscore,KCR,OAK,W,3,1,,3-6,5, 3.0,Vargas,Hahn,Herrera,2:39,N,"22,160",+,True,133,2017
